ID	defaultValue	description
eAxisY_gap	"[0,0]"	数值轴两端空白策略，数组内数值代表百分比，[原始数据最小值与最终最小值之间的差额，原始数据最大值与最终最大值之间的差额]
eAxisY_data	[]	类目列表，同时也是label内容，
eAxisY_gap_2	TRUE	类目起始和结束两端空白策略，见下图，默认为true留空，false则顶头
eAxisY_position	left	坐标轴类型，横轴默认为类目型'bottom'，纵轴默认为数值型'left'，可选为：'bottom' | 'top' | 'left' | 'right'
eAxisY_layoutSetting	FALSE	是否进行坐标轴样式设计，默认开启
eAxisY_valueLabel	NULL	间隔名称格式器：{string}（Template） | {Function}
eAxisY_label_color	#eee/black	坐标轴文本样式：颜色
eAxisY_label_fontSize	12	字号 ，单位px
eAxisY_label_margin	10	坐标轴文本标签与坐标轴的间距，默认为8，单位px
eAxisY_label_rotate	0	标签旋转角度，默认为0，不旋转，正直为逆时针，负值为顺时针，可选为：-90 ~ 90
eAxisY_label_interval	auto	标签显示挑选间隔，默认为'auto'，可选为：'auto'（自动隐藏显示不下的） | 0（全部显示） | {number}（用户指定选择间隔）
eAxisY_tick_show	TRUE	是否显示，默认为false，设为true后下面为默认样式
eAxisY_tick_color	#fff/black	轴线样式：颜色
eAxisY_tick_length	10	轴线样式：轴线长度
eAxisY_tick_width	2	轴线样式：轴线宽度
eAxisY_splitLine	TRUE	分隔线是否显示
eAxisY_splitArea	TRUE	分隔区域是否显示
eTooltip_show	TRUE	显示策略，可选为：true（显示） | false（隐藏）
eTooltip_trigger	item	触发类型，默认数据触发，见下图，可选为：'item' | 'axis'
eTooltip_formatter	null	内容格式器：{string}（Template） |?{Function}，支持异步回调见表格下方
eTooltip_islandFormatter	'{a} < br/>{b} : {c}'	拖拽重计算独有，数据孤岛内容格式器：{string}（Template） |?{Function}，见表格下方
eDataZoom_show	TRUE	是否显示，当show为true时则接管使用指定类目轴的全部系列数据，如不指定则接管全部直角坐标系数据。
eDataZoom_realtime	FALSE	缩放变化是否实时显示，建议性能较低的浏览器或数据量巨大时不启动实时效果。
eDataZoom_zoomLock	FALSE	数据缩放锁，默认为false，当设置为true时选择区域不能伸缩，即(end - start)值保持不变，仅能做数据漫游。
eDataZoom_x	NA(自适应)	水平安放位置，默认为根据grid参数适配，纵向布局默认左侧，可指定?{number}（左上角x坐标，单位px）
eDataZoom_y	NA(自适应)	垂直安放位置，默认为根据grid参数适配，纵向布局默认下方，可指定?{number}（左上角y坐标，单位px）
eDataZoom_start	0	数据缩放，选择起始比例，默认为0，从首个数据起选择。
eDataZoom_end	100	数据缩放，选择结束比例，默认为100（%），到最后一个数据选择结束。
eDataZoom_width	自适应 | 30	指定宽度，横向布局时默认为根据grid参数适配，纵向布局是默认为30，可指定?{number}（宽度，单位px）
eDataZoom_height	自适应 | 30	指定高度，纵向布局时默认为根据grid参数适配，横向布局是默认为30，可指定?{number}（高度，单位px）
eDataZoom_colorSetting	FALSE	是否进行数据区域缩放颜色设置
eDataZoom_backgroundColor	'#eee'	背景颜色
eDataZoom_databackgroundColor	'#ccc'	数据缩略背景颜色
eDataZoom_fillerColor	"rgba(50,205,50,0.4)'"	选择区域填充颜色
eDataZoom_handleColor	"rgba(70,130,180,0.8)'"	控制手柄颜色
